record_id,company_name,company_type,city,director_name,role,appointed_on
ROC-0001,Lanka Trading Pvt Ltd,front company,Hyderabad,David Radhakrishnan,director,2019-10-08T13:23:00+05:30
ROC-0002,Lanka Trading Pvt Ltd,front company,Hyderabad,Ishaan Mann,director,2019-10-08T13:23:00+05:30
ROC-0003,Yohannan Logistics Pvt Ltd,transport company,Pune,Ekaraj Koshy,director,2021-04-01T10:10:00+05:30
ROC-0004,Khatri Infra Pvt Ltd,retail business,Mumbai,Adya Choudhury,director,2020-01-18T12:51:00+05:30
ROC-0005,Bhardwaj Services Pvt Ltd,IT services firm,Mumbai,Karan Tella,director,2017-12-16T10:37:00+05:30
ROC-0006,Sami Infra Pvt Ltd,restaurant,Pune,Jagat Mallick,director,2021-02-05T17:13:00+05:30
ROC-0007,Sami Infra Pvt Ltd,restaurant,Pune,Siddharth Roy,director,2021-02-05T17:13:00+05:30
ROC-0008,Goswami Services Pvt Ltd,IT services firm,Pune,Gopal Gupta,director,2018-01-04T16:12:00+05:30
ROC-0009,Borah Services Pvt Ltd,IT services firm,Hyderabad,Waida Thakkar,director,2022-02-03T17:19:00+05:30
ROC-0010,Borah Services Pvt Ltd,IT services firm,Hyderabad,Kalpit Jayaraman,director,2022-02-03T17:19:00+05:30
ROC-0011,Yogi Traders,IT services firm,Hyderabad,Yutika Mutti,director,2021-09-03T14:49:00+05:30
ROC-0012,Yogi Traders,IT services firm,Hyderabad,Naksh Khare,director,2021-09-03T14:49:00+05:30
ROC-0013,Raja Services Pvt Ltd,retail business,Delhi,Ojas De,director,2016-04-21T17:42:00+05:30
ROC-0014,Raja Services Pvt Ltd,retail business,Delhi,Kritika Loke,director,2016-04-21T17:42:00+05:30
ROC-0015,Barad Trading Pvt Ltd,courier service,Delhi,Eesha Barman,director,2018-05-02T17:02:00+05:30
ROC-0016,Salvi Trading Pvt Ltd,retail business,Bengaluru,Oni Murthy,director,2023-10-09T15:41:00+05:30
ROC-0017,Salvi Trading Pvt Ltd,retail business,Bengaluru,Devansh Handa,director,2023-10-09T15:41:00+05:30
ROC-0018,Raghavan Trading Pvt Ltd,construction firm,Bengaluru,Oni Murthy,director,2023-09-23T16:32:00+05:30
